iter	Passed	Remaining
916	1849	167
917	1851	165
918	1855	163
919	1857	161
920	1860	159
921	1862	157
922	1864	155
923	1866	153
924	1868	151
925	1870	149
926	1872	147
927	1875	145
928	1877	143
929	1879	141
930	1881	139
931	1883	137
932	1886	135
933	1888	133
934	1890	131
935	1892	129
936	1896	127
937	1898	125
938	1900	123
939	1904	121
940	1907	119
941	1910	117
942	1912	115
943	1915	113
944	1917	111
945	1918	109
946	1920	107
947	1922	105
948	1924	103
949	1926	101
950	1928	99
951	1930	97
952	1932	95
953	1934	93
954	1936	91
955	1938	89
956	1940	87
957	1942	85
958	1944	83
959	1946	81
960	1948	79
961	1950	77
962	1952	75
963	1954	72
964	1956	70
965	1958	68
966	1960	66
967	1962	64
968	1964	62
969	1966	60
970	1968	58
971	1970	56
972	1972	54
973	1974	52
974	1977	50
975	1979	48
976	1981	46
977	1983	44
978	1985	42
979	1987	40
980	1989	38
981	1991	36
982	1993	34
983	1995	32
984	1997	30
985	1999	28
986	2001	26
987	2003	24
988	2005	22
989	2007	20
990	2009	18
991	2011	16
992	2012	14
993	2013	12
994	2013	10
995	2014	8
996	2015	6
997	2016	4
998	2017	2
999	2018	0
